opt,rep,wall_time,cpu_utilization,mem_usage_db,mem_usage_py,net_usage,ver,index,net,scale
incl,0,0.45775493001565337,0,0,0,0,p2d2.optimizer,true,lan,1
incl,1,0.42892299097729847,0,0,0,0,p2d2.optimizer,true,lan,1
excl,0,0.429343091964256,0,0,0,0,p2d2.optimizer,true,lan,1
excl,1,0.42675258801318705,0,0,0,0,p2d2.optimizer,true,lan,1
incl,0,4.738227627007291,0,0,0,0,p2d2.no_optimizer,true,lan,1
incl,1,5.2785985710215755,0,0,0,0,p2d2.no_optimizer,true,lan,1
excl,0,4.576797602989245,0,0,0,0,p2d2.no_optimizer,true,lan,1
excl,1,3.8037560380180366,0,0,0,0,p2d2.no_optimizer,true,lan,1
incl,0,0.42834108899114653,0,0,0,0,p2d2.optimizer,false,lan,1
incl,1,0.42951039102626964,0,0,0,0,p2d2.optimizer,false,lan,1
excl,0,0.42812948900973424,0,0,0,0,p2d2.optimizer,false,lan,1
excl,1,0.6821632389910519,0,0,0,0,p2d2.optimizer,false,lan,1
incl,0,4.600262833992019,0,0,0,0,p2d2.no_optimizer,false,lan,1
incl,1,4.1158064670162275,0,0,0,0,p2d2.no_optimizer,false,lan,1
excl,0,4.237913333985489,0,0,0,0,p2d2.no_optimizer,false,lan,1
excl,1,4.14737150905421,0,0,0,0,p2d2.no_optimizer,false,lan,1
incl,0,0.6894939490011893,0,0,0,0,p2d2.optimizer,true,wan,1
incl,1,0.4286570900003426,0,0,0,0,p2d2.optimizer,true,wan,1
excl,0,0.43050949298776686,0,0,0,0,p2d2.optimizer,true,wan,1
excl,1,0.4296532910084352,0,0,0,0,p2d2.optimizer,true,wan,1
incl,0,5.177486826025415,0,0,0,0,p2d2.no_optimizer,true,wan,1
incl,1,5.115088638965972,0,0,0,0,p2d2.no_optimizer,true,wan,1
excl,0,6.240414187021088,0,0,0,0,p2d2.no_optimizer,true,wan,1
excl,1,4.539443245041184,0,0,0,0,p2d2.no_optimizer,true,wan,1
incl,0,0.4276541880099103,0,0,0,0,p2d2.optimizer,false,wan,1
incl,1,0.4283072889666073,0,0,0,0,p2d2.optimizer,false,wan,1
excl,0,0.4274014880065806,0,0,0,0,p2d2.optimizer,false,wan,1
excl,1,0.4295300910016522,0,0,0,0,p2d2.optimizer,false,wan,1
incl,0,5.163026602007449,0,0,0,0,p2d2.no_optimizer,false,wan,1
incl,1,4.488567674008664,0,0,0,0,p2d2.no_optimizer,false,wan,1
excl,0,3.9623890499933623,0,0,0,0,p2d2.no_optimizer,false,wan,1
excl,1,4.280348185973708,0,0,0,0,p2d2.no_optimizer,false,wan,1
incl,0,0.4295338909723796,0,0,0,0,p2d2.optimizer,true,loc,1
incl,1,0.4289590900298208,0,0,0,0,p2d2.optimizer,true,loc,1
excl,0,0.42805248900549486,0,0,0,0,p2d2.optimizer,true,loc,1
excl,1,0.6960956569528207,0,0,0,0,p2d2.optimizer,true,loc,1
incl,0,4.707990574010182,0,0,0,0,p2d2.no_optimizer,true,loc,1
incl,1,4.301937713986263,0,0,0,0,p2d2.no_optimizer,true,loc,1
excl,0,4.138895488984417,0,0,0,0,p2d2.no_optimizer,true,loc,1
excl,1,4.179351444996428,0,0,0,0,p2d2.no_optimizer,true,loc,1
incl,0,0.4293999900110066,0,0,0,0,p2d2.optimizer,false,loc,1
incl,1,0.4268556860042736,0,0,0,0,p2d2.optimizer,false,loc,1
excl,0,0.507056997041218,0,0,0,0,p2d2.optimizer,false,loc,1
excl,1,0.4280208880081773,0,0,0,0,p2d2.optimizer,false,loc,1
incl,0,4.579968095000368,0,0,0,0,p2d2.no_optimizer,false,loc,1
incl,1,5.128484748012852,0,0,0,0,p2d2.no_optimizer,false,loc,1
excl,0,5.602456498018,0,0,0,0,p2d2.no_optimizer,false,loc,1
excl,1,6.785952624049969,0,0,0,0,p2d2.no_optimizer,false,loc,1
incl,0,0.7494863300235011,0,0,0,0,p2d2.optimizer,true,lan,10
incl,1,0.7337920080171898,0,0,0,0,p2d2.optimizer,true,lan,10
excl,0,0.4808673610095866,0,0,0,0,p2d2.optimizer,true,lan,10
excl,1,0.4799827589886263,0,0,0,0,p2d2.optimizer,true,lan,10
incl,0,37.585796212020796,0,0,0,0,p2d2.no_optimizer,true,lan,10
incl,1,34.68397059099516,0,0,0,0,p2d2.no_optimizer,true,lan,10
excl,0,38.61557994398754,0,0,0,0,p2d2.no_optimizer,true,lan,10
excl,1,36.963347340002656,0,0,0,0,p2d2.no_optimizer,true,lan,10
incl,0,0.48119865905027837,0,0,0,0,p2d2.optimizer,false,lan,10
incl,1,0.48254376102704555,0,0,0,0,p2d2.optimizer,false,lan,10
excl,0,0.48375286196824163,0,0,0,0,p2d2.optimizer,false,lan,10
excl,1,0.4798135570017621,0,0,0,0,p2d2.optimizer,false,lan,10
incl,0,35.98250805604039,0,0,0,0,p2d2.no_optimizer,false,lan,10
incl,1,39.060858729004394,0,0,0,0,p2d2.no_optimizer,false,lan,10
excl,0,37.259432724968065,0,0,0,0,p2d2.no_optimizer,false,lan,10
excl,1,36.01041128201177,0,0,0,0,p2d2.no_optimizer,false,lan,10
incl,0,0.7398849099990912,0,0,0,0,p2d2.optimizer,true,wan,10
incl,1,0.4815199570148252,0,0,0,0,p2d2.optimizer,true,wan,10
excl,0,0.49316547298803926,0,0,0,0,p2d2.optimizer,true,wan,10
excl,1,0.48126185697037727,0,0,0,0,p2d2.optimizer,true,wan,10
incl,0,39.23900834802771,0,0,0,0,p2d2.no_optimizer,true,wan,10
incl,1,36.53526172100101,0,0,0,0,p2d2.no_optimizer,true,wan,10
excl,0,37.435749811993446,0,0,0,0,p2d2.no_optimizer,true,wan,10
excl,1,38.13435622601537,0,0,0,0,p2d2.no_optimizer,true,wan,10
incl,0,0.4853868609643541,0,0,0,0,p2d2.optimizer,false,wan,10
incl,1,0.48352135805180296,0,0,0,0,p2d2.optimizer,false,wan,10
excl,0,0.47891065099975094,0,0,0,0,p2d2.optimizer,false,wan,10
excl,1,0.48340265796286985,0,0,0,0,p2d2.optimizer,false,wan,10
incl,0,38.11421325796982,0,0,0,0,p2d2.no_optimizer,false,wan,10
incl,1,39.05208719399525,0,0,0,0,p2d2.no_optimizer,false,wan,10
excl,0,37.826359437953215,0,0,0,0,p2d2.no_optimizer,false,wan,10
excl,1,41.6153933799942,0,0,0,0,p2d2.no_optimizer,false,wan,10
incl,0,0.5627586100017652,0,0,0,0,p2d2.optimizer,true,loc,10
incl,1,0.48447881097672507,0,0,0,0,p2d2.optimizer,true,loc,10
excl,0,0.49538052501156926,0,0,0,0,p2d2.optimizer,true,loc,10
excl,1,0.48043630603933707,0,0,0,0,p2d2.optimizer,true,loc,10
incl,0,38.60089137603063,0,0,0,0,p2d2.no_optimizer,true,loc,10
incl,1,38.04877947701607,0,0,0,0,p2d2.no_optimizer,true,loc,10
excl,0,37.21733342699008,0,0,0,0,p2d2.no_optimizer,true,loc,10
excl,1,37.353676295955665,0,0,0,0,p2d2.no_optimizer,true,loc,10
incl,0,0.4857933120219968,0,0,0,0,p2d2.optimizer,false,loc,10
incl,1,0.4838168100104667,0,0,0,0,p2d2.optimizer,false,loc,10
excl,0,0.48113110702252015,0,0,0,0,p2d2.optimizer,false,loc,10
excl,1,0.4824326079688035,0,0,0,0,p2d2.optimizer,false,loc,10
incl,0,32.19687809201423,0,0,0,0,p2d2.no_optimizer,false,loc,10
incl,1,39.091615482000634,0,0,0,0,p2d2.no_optimizer,false,loc,10
excl,0,37.68621680699289,0,0,0,0,p2d2.no_optimizer,false,loc,10
excl,1,32.030259375984315,0,0,0,0,p2d2.no_optimizer,false,loc,10
