ref,deadline,category,reward,teamCount,userHasEntered,No competitions found
contradictory-my-dear-watson,2030-07-01 23:59:00,Getting Started,Prizes,76.0,False,
gan-getting-started,2030-07-01 23:59:00,Getting Started,Prizes,159.0,False,
tpu-getting-started,2030-06-03 23:59:00,Getting Started,Knowledge,364.0,False,
digit-recognizer,2030-01-01 00:00:00,Getting Started,Knowledge,2378.0,False,
titanic,2030-01-01 00:00:00,Getting Started,Knowledge,18554.0,False,
house-prices-advanced-regression-techniques,2030-01-01 00:00:00,Getting Started,Knowledge,4724.0,False,
connectx,2030-01-01 00:00:00,Getting Started,Knowledge,422.0,False,
nlp-getting-started,2030-01-01 00:00:00,Getting Started,Knowledge,1212.0,False,
competitive-data-science-predict-future-sales,2022-12-31 23:59:00,Playground,Kudos,10444.0,False,
jane-street-market-prediction,2021-08-23 23:59:00,Featured,"$100,000",4245.0,False,
hungry-geese,2021-07-26 23:59:00,Playground,Prizes,285.0,False,
indoor-location-navigation,2021-05-17 23:59:00,Research,"$10,000",355.0,False,
hpa-single-cell-image-classification,2021-05-11 23:59:00,Featured,"$25,000",205.0,False,
vinbigdata-chest-xray-abnormalities-detection,2021-03-30 23:59:00,Featured,"$50,000",735.0,False,
hubmap-kidney-segmentation,2021-03-25 23:59:00,Research,"$60,000",1090.0,False,
ranzcr-clip-catheter-line-classification,2021-03-15 23:59:00,Featured,"$50,000",1083.0,False,
tabular-playground-series-feb-2021,2021-02-28 23:59:00,Playground,Swag,1243.0,False,
rock-paper-scissors,2021-02-22 23:59:00,Playground,Prizes,1663.0,False,
santa-2020,2021-02-22 23:59:00,Featured,Prizes,788.0,False,
cassava-leaf-disease-classification,2021-02-18 23:59:00,Research,"$18,000",3900.0,False,
rfcx-species-audio-detection,2021-02-17 23:59:00,Research,"$15,000",1143.0,False,
acea-water-prediction,2021-02-17 23:59:00,Analytics,"$25,000",0.0,False,
tabular-playground-series-jan-2021,2021-01-31 23:59:00,Playground,Swag,1728.0,False,
riiid-test-answer-prediction,2021-01-07 23:59:00,Featured,"$100,000",3395.0,False,
nfl-big-data-bowl-2021,2021-01-07 23:59:00,Analytics,"$100,000",0.0,False,
predict-volcanic-eruptions-ingv-oe,2021-01-06 23:59:00,Playground,Swag,620.0,False,
kaggle-survey-2020,2021-01-06 23:59:00,Analytics,"$30,000",0.0,False,
nfl-impact-detection,2021-01-04 23:59:00,Featured,"$75,000",459.0,False,
halite-iv-playground-edition,2020-12-31 23:59:00,Playground,Knowledge,79.0,False,
hashcode-drone-delivery,2020-12-14 23:59:00,Playground,Knowledge,130.0,False,
google-football,2020-12-11 23:59:00,Featured,"$6,000",1138.0,False,
cdp-unlocking-climate-solutions,2020-12-02 23:59:00,Analytics,"$91,000",0.0,False,
